name,question_1,question_2,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_18,question_19,question_20
hs1072,0,8,0,0,0,5,1,0,10,0,0,10,10,7,8,10,0,10,0
hs15520,0,9,0,0,0,2,1,0,10,0,0,10,10,10,10,10,0,10,0
hs5745,1,6,0,0,0,6,1,0,10,0,0,10,10,7,7,10,0,10,0
hs7437,0,2,0,0,0,3,1,0,10,0,0,10,10,4,6,10,0,10,0
hs12743,0,7,0,0,0,0,1,0,10,0,0,10,10,5,6,10,0,10,0
hs10606,0,7,0,0,0,1,1,0,10,0,0,10,10,6,6,10,0,10,0
hs10008,0,8,0,0,0,1,1,10,10,0,0,10,2,6,7,10,0,10,10
hs6144,0,10,0,0,0,6,1,0,10,0,0,10,10,10,10,10,0,10,0
hs11670,0,2,0,0,0,6,1,0,10,0,0,10,10,5,5,10,0,10,0
hs10421,0,0,0,0,0,10,1,0,10,0,0,10,10,10,10,10,0,10,0
hs7668,0,0,0,0,0,10,1,0,10,0,0,10,10,10,10,10,0,10,0
hs15810,1,8,0,0,0,6,1,0,10,0,0,10,10,10,10,10,0,10,0
hs5498,1,8,10,0,0,10,1,0,10,0,0,10,10,7,8,10,0,10,0
hs6593,0,9,0,0,0,0,1,10,10,0,0,10,1,1,7,10,0,10,10
hs5205,0,8,0,0,0,0,7,0,10,0,0,10,10,0,2,10,0,10,0
hs4789,0,8,0,0,0,0,7,0,10,0,0,10,10,2,4,10,0,10,0
hs7168,0,8,0,0,0,0,1,10,10,0,0,10,2,2,5,10,0,10,10
hs6973,0,0,0,0,0,1,7,0,10,0,0,10,10,2,5,10,0,10,0
hs1590,0,5,0,0,0,0,7,10,10,0,0,10,5,5,6,10,0,10,0
hs9214,1,9,0,0,10,4,7,0,10,0,0,10,10,1,5,10,0,10,0
hs14804,0,8,0,0,0,1,1,0,10,0,0,10,10,8,8,10,0,10,0
hs6758,0,0,0,0,0,1,7,0,10,0,0,10,10,5,6,10,0,10,0
hs7137,0,4,0,0,0,1,7,0,10,0,0,10,10,1,5,10,0,10,0
hs4782,0,5,0,0,0,0,1,10,10,0,0,10,5,7,7,10,0,10,10
hs909,0,5,0,0,0,2,1,0,10,0,0,10,10,7,8,10,0,10,0
hs10226,0,6,0,0,0,1,1,0,10,0,0,10,10,3,6,10,0,10,0
hs11426,0,8,0,0,0,0,7,0,10,0,0,10,10,5,8,10,0,10,0
hs5108,0,0,0,0,0,0,1,0,10,0,0,10,10,7,7,10,0,10,0
hs2873,0,5,0,0,0,1,7,0,10,0,0,10,10,4,6,10,0,10,0
hs5998,0,10,0,0,0,1,1,0,10,0,0,10,10,6,7,10,0,10,0
hs4403,1,7,0,0,0,2,1,10,10,0,0,10,3,1,7,10,0,10,10
hs1178,0,8,0,0,0,0,7,10,10,0,0,10,2,6,7,10,0,10,0
hs8023,0,1,0,0,0,1,1,0,10,0,0,10,10,5,7,10,0,10,0
hs10685,0,8,0,0,0,0,7,10,10,0,0,10,2,2,4,10,0,10,0
hs5926,0,0,0,0,0,0,7,10,10,0,0,10,10,3,6,10,0,10,0
hs8027,0,6,0,0,0,0,7,0,10,0,0,10,10,2,6,10,0,10,0
hs13930,0,0,0,0,0,0,1,0,10,0,0,10,10,3,3,10,0,10,0
hs5271,0,7,0,0,0,0,7,0,10,0,0,10,10,1,7,10,0,10,0
hs991,0,3,0,0,0,1,7,0,10,0,0,10,10,1,7,10,0,10,0
hs10160,0,6,0,0,0,0,7,0,10,0,0,10,10,5,6,10,0,10,0
hs7142,0,7,0,0,0,0,7,0,10,0,0,10,10,3,6,10,0,10,0
hs7826,0,0,0,0,0,0,1,0,10,0,0,10,10,1,7,10,0,10,0
hs17352,1,8,0,0,0,1,1,0,10,0,0,10,10,10,10,10,0,10,0
hs17041,0,10,0,0,0,1,1,0,10,0,0,10,10,10,10,10,0,10,0
hs3498,0,6,0,0,0,0,7,0,10,0,0,10,10,6,6,10,0,10,0
hs4388,0,6,0,0,0,0,1,0,10,0,0,10,10,4,5,10,0,10,0
hs6479,0,3,0,0,0,4,1,0,10,0,0,10,10,7,7,10,0,10,0
hs13621,0,8,0,0,0,0,7,0,10,0,0,10,10,3,4,10,0,10,0
hs9719,0,9,0,0,0,0,7,0,10,0,0,10,10,2,5,10,0,10,0
hs13723,0,10,0,0,0,0,7,10,10,0,0,10,0,3,4,10,0,10,0
